DokumentNr;Artikel;Bezeichnung;Klasse;KlasseBezeichnung;Gruppe;GruppeBezeichnung;Untergruppe;UntergruppeBezeichnung;Preis;Menge;Lagereinheit;Rechnungseinheit;Einkaufspreis;Rabatt;TotalExklMwSt;SteuerCode;Steuerbetrag;TotalInklMwSt;Waehrung;Ertragskonto;Kostenstelle;Gewicht;DokumentTyp;DokumentTypBezeichnung;DatumBelegbeiKasse;Adresse;Name;Land;Region;Sprache;Checkout;VoucherBon;VoucherKueche;VoucherGruppe
2169610;7640105563135;Erdbeer Rhabarber Konfi 220g;6;HofChuchi;33;Konfi;;;5.90;1.00;STK;STK;0.00;0.00;5.76;11;0.14;5.90;CHF;3220;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:33:08;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;2190000;Trockenfleisch Eichenberger;2;Frischprodukte;7;Fleisch;FREMD;Fremd;4.65;1.00;STK;STK;0.00;0.00;4.54;11;0.11;4.65;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;2190000;Trockenfleisch Eichenberger;2;Frischprodukte;7;Fleisch;FREMD;Fremd;4.70;1.00;STK;STK;0.00;0.00;4.59;11;0.11;4.70;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;304004;Brötli vom Hof;7;HofBäckerei;8;Brot;;;1.60;2.00;STK;STK;0.00;0.00;3.12;11;0.08;3.20;CHF;3221;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;201001;Eier 6 Stk.;2;Frischprodukte;9;Eier;FREMD;Fremd;4.50;1.00;STK;STK;0.00;0.00;4.39;11;0.11;4.50;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;2110100;Auberginen;5;Gemüse;25;Gemüse divers;FREMD;Fremd;4.50;0.37;KG;KG;0.00;0.00;1.61;11;0.04;1.65;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;2110195;Rüebli;5;Gemüse;25;Gemüse divers;FREMD;Fremd;2.50;0.46;KG;KG;0.00;0.00;1.12;11;0.03;1.15;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;500738;Kopfsalat;5;Gemüse;25;Gemüse divers;FREMD;Fremd;1.50;1.00;STK;STK;0.00;0.00;1.46;11;0.04;1.50;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169611;500108;Erdbeeren CH 250g;4;Obst;20;Erdbeeren;FREMD;Fremd;4.00;1.00;SCH;SCH;0.00;0.00;3.90;11;0.10;4.00;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:35:48;1000001;Laufkunde;CH;ZH;D;0;0;;0
2169612;202001;Knobliwurst;2;Frischprodukte;7;Fleisch;FREMD;Fremd;6.30;2.00;STK;STK;0.00;0.00;12.29;11;0.31;12.60;CHF;3200;200;0.00;RGKSSEG;Rechnung Kasse Seegräben;17.08.2017 - 16:38:00;1000001;Laufkunde;CH;ZH;D;0;0;;0
